ix,name,street,city,postalcode,duns,countrycode
1a6ccbe5,vri gmbh,wilhelm maybach str,ellwangen,73479,,DE
b3d57f9d,aeroflex ltd,monks brook industrial park,chandler s ford,so534ra,,GB
f2e19b58,altron gmbh co kg,10 gaustr,lehrte,31275,315672964,DE
fe5db42f,le joint francais,centre administratif,thure,86540,,FR
1b69ccb6,nespresso deutschland gmbh,speditionsstrae,dusseldorf,40221,,DE
303a4b5d,muehlinghaus hildesheim,klingelholl,wuppertal,42281,319390084,DE
78b4a267,buerklin ohg,80 am wehrhahn,dusseldorf,40211,316757657,DE
7a037111,dr ursula matschke,33 emilienstr,stuttgart,70563,,DE
9acc114b,ats gmbh,14 schanzenstr,waldbrol,51545,323710764,DE
5e02efdb,bozic tours,32 zinglerstr,ulm,89077,,DE
8b5d81b9,nespresso deutschland gmbh,23 speditionstr,dusseldorf,40221,333868649,DE
39e80128,alexander speith gmbh co kg,14 bahnhofstr,varel,26316,319220083,DE
b5729da0,brklin ohg,41 schillerstr,munich,80336,316757657,DE
6c39db4f,natixis factor,1012 avenue winston churchill,charenton le pont,94220,,FR
0259216a,hotel villa hentzel,bauhausstr,weimar,99423,,DE
4c115719,hamilton sundstrand aerospace,4747 harrison ave,rockford,61108-7929,,US
dcc308de,drei bond gmbh,17 carl zeiss ring,ismaning,85737,319143681,DE
d6557d2d,maximilian wigger suttner,jahnstr,ulm,89073,,DE
a029fb9a,delta computer products gmbh,4 rntgenstr,reinbek,21465,031634716,DE
680f5a62,genkinger hubtex gmbh,albstrae,munsingen,72525,332679625,DE
6537b899,utc aerospace systems,250 knotter dr,kansas city,64101,041668195,US
e1a325bd,klever gmbh und co kg,20 hauptstr,aham,84168,,DE
be102af6,aspen electronics limited,1 kildare close,ruislip,ha4 9lg,217199405,GB
3c4377c9,ergonomia verlag ohg,29a julius halder s trasse,stuttgart,70597,,DE
a9b7c40b,selex sensors and airborne systems,2 crewe road north,edinburgh,eh5 2xs,023226769,GB
19c06e93,denzel kg,12 mhlwinkel,wertingen,86637,316456565,DE
4c1e2c61,swansea university,singleton park,swansea,sa2 8pp,232227629,GB
8ae6cdb0,ge sensing,fir tree lane,groby,le6 0fh,219144201,GB
4c772645,mewa textil mietservice,5 hermann gebauer str,meisenheim,77974,314496969,DE
39082433,sinus electronic gmbh,schleifweg,untereisesheim,74257,,DE
5c91b347,phoenix contact hmi ipc,29 kurze str,filderstadt,70794,,DE
893c79db,gesa equipos y suministros indus,19 carrer de la industria,teia,8329,,ES
d23b2dac,aaf sa,avenue de paris,vincennes,94300,,FR
77f5274a,selex es spa,via piemonte,rome,187,434003576,IT
3ff0a037,siemens ag,1 gnther scharowsky strae,erlangen,91058,331491514,DE
2b6c43e5,industrie und,fasanenstr,berlin,10623,,DE
97571df1,kvt koenig gmbh,14 max eyth str,illerrieden,89186,,DE
bace2c59,vri,wilhelm maybach str,ellwangen,73479,342019866,DE
0297485a,gross karlheinz,37 ulmenweg,zweibrucken,66482,,DE
37fa1e22,marconi selenia communications spa,1a via ambrogio negrone,genoa,16153,,IT
8946d1cc,isr stephan walter,56 nahestr,rodgau,63110,,DE
fa96a218,vds schadenverhtung gmbh,rheinstr,darmstadt,64283,332836506,DE
8c071814,ge aviation systems ltdcustomer services,evesham road,cheltenham,gl528sf,211207784,GB
f21fdcf5,smiths aerospace customer services,bishops cleeve,cheltenham,gl528yb,288525181,GB
f02cb731,selex sensos and airborne systems,lg,edinburgh,28000,023226769,ES
e649baee,blumenhof frey,wa3rmbachstraerasse,unterschleissheim,85716,,DE
b1120134,sogeti high tech,bp n 90076,blagnac,31700,287711456,FR
0a8de44c,rdmadrid sl,79 calle de caleruega,madrid,28033,056330515,ES
a30fe96c,edmund optics inc,lysander close,york,yo30 4xb,236713199,GB
01c34b3a,haufe gmbhcokg,weilburger str,usingen,61250,,DE
6880aa5d,ge aviation systems ltd,arle court,cheltenham,gl51 0,,GB
b8f79f98,phytec messtechnik gmbh,robert koch str,mainz,55129,,DE
f7da5ee1,e a elektro automatik gmbh,31 37 helmholtzstr,viersen,41747,344304634,DE
1d2e777b,citaku gbr,32 papenbreede,bad essen,49152,,DE
35508103,hr kommunikation,max von mller s trasse,rottenburg,84056,340190931,DE
150322b3,fako gmbh,peutestr,hamburg,20539,313518398,DE
83024ff7,battery direct gmbh,1 ewald renz str,bad schonborn,76669,331599808,DE
7a60d395,battery direct gmbh,ewald renz str,bad schonborn,76669,,DE
39734970,oracle deutschland gmbh,14 schiffbauergasse,potsdam,14467,033170335,DE
0ad4aa46,algner safety consulting services,14 weiherstr,friedrichshafen,88048,,DE
77ca58f8,buchde,an den speichern,munster,48157,031539316,DE
b5596907,dga techniques aeronautique dga techniques aeronautique dga techniques aeronautique,47 rue saint jean,balma,31130,,FR
0908a0aa,selex es spa,4 piazza monte grappa,rome,195,,IT
8e647a80,general dynamics uk ltd,bryn briithdir,blackwood,np12,295449961,GB
816d262e,ge measurement control,fir tree lane,groby,le60fh,226525053,GB
13e982e5,landeshauptstadt mnchen referat f,sendlinger strae,munich,80331,,DE
3c4c091c,industrie und,olgastr,ulm,89073,,DE
