ix,name,street,city,postalcode,duns,countrycode
6ce89b84-d60a-42c6-8612-18f43319737e,stahl gmbh,3 w maybach strae,crailsheim,74564,312901044.0,DE
1bf66a20-ba9c-4676-a565-b42301dd78d7,aeroflex ltd,monks brook industrial park,chandler s ford,so534ra,,GB
d56af94b-45d8-4752-ae7b-78d53f88f9c7,altran gmbh co kg,3 veritaskai,hamburg,21079,,DE
666666f3-ed63-41b3-977e-1aa5ca87f126,le joint francais,centre services partages,thure,86540,766251516.0,FR
f6b69da9-cc70-4918-b8f3-f92bf4d1580a,kienbaum management,speditionsstrasse 21,dusseldorf,40221,332631456.0,DE
69e3533d-b706-4b98-8979-bceef511318c,muehlinghaus hildesheim,klingelholl,wuppertal,42281,,DE
42778260-6697-4209-8763-8ee736dac674,buerklin ohg,grnwalder weg,oberhaching,82041,,DE
69ef33b5-45ec-4ec1-86ff-2ec388e4abc3,dr ursula matschke,33 emilienstr,stuttgart,70563,,DE
e1cd2dc2-7867-47f5-af69-197636bbfff8,rts rieger team werbeagentur gmbh,schanzenstrae,dusseldorf,40549,,DE
251a3154-3135-4795-9a1a-14bc31a1edc4,aalco metall,12 aindlinger str,augsburg,86167,333354707.0,DE
591099fe-6fcd-4a72-9e4b-9365594dbb41,nespresso deutschland gmbh,speditionsstrae,dusseldorf,40221,,DE
11b433a8-edb0-4dfb-aa4f-2580dfed40c3,bro zimmermann,bahnhofstr,dippoldiswalde,01744,,DE
fd3bac22-f849-4312-90e6-fc2f5cf6d2bc,buerklin ohg,grnwalder weg,oberhaching,82041,316757657.0,DE
741c6dc2-f923-4fe0-a5c5-cc4b531d73d5,natixis factor,avenue winston churchill,charenton le pont,94220,,FR
a2924139-bf18-4784-81eb-fe8afbd98c4b,villa hentzel,bauhausstr,weimar,99423,,DE
d9c1213d-6ff4-4a8c-aaba-8ca9f8c64b40,hamilton sundstrand ca,po box 85757,san diego,92186-5757,144357381.0,US
4423d322-4b71-4722-a668-aede6ea7cfce,dixi polytool gmbh,11 carl benz str,birkenfeld,55765,320051725.0,DE
3cbe1b93-fca9-48c1-bf6c-b637ca8f5471,maximilian wigger suttner,jahnstr,ulm,89073,,DE
2528a57c-32a0-4944-a325-01996c097a68,planilux gmbh,48 rangestr,warstein,59581,313536424.0,DE
cbb76bc4-49fa-4bb7-bb3a-5fc37dbaca44,engelking elektronik gmbh,16 albstr,tuningen,78609,,DE
dadb7842-2c63-4622-ba57-fd8364be8812,utc aerospace systems attn char mcgoldrick,1007 e university dr,phoenix,21131,,US
8bd50f9c-0a29-4ec3-88f0-f7ca11244b49,kemper gmbh,20 von siemens str,vreden,48691,317319242.0,DE
75b2984e-4929-4faf-a4fe-3025954327c9,aspen electonics limited,re aspen electronics,feltham,tw137qd,,GB
4904c310-36d4-4dee-b8ff-f18113f8cfe8,ergonomia verlag ohg,29a julius halder s trasse,stuttgart,70597,,DE
f02cb731-ebe7-4505-af04-61df8df093a5,selex sensos and airborne systems,lg,edinburgh,28000,23226769.0,ES
1db0ec72-ca0a-48a8-85cf-0e42c172c5b7,bmv mietservice gmbh,12 hasenwinkel,wolgast,17438,,DE
2b288390-f72b-4cdb-8a3b-ccac1cbce1fa,swansea university,singleton park,swanseasa28pp,sa2 8pp,232227629.0,GB
aeba4b32-076d-4a65-bbdc-5a94c7bd5e17,druck limited,fir tree lane,groby,le6 ofh,226525053.0,GB
2839b691-e240-4281-b173-03fd5688e8af,mewa textil service ag co,hermann gebauer str,weil im schonbuch,71093,318287794.0,DE
3b9f57b4-85af-47be-9530-c553a807f4a3,sinus electronic,schleifweg,untereisesheim,74257,,DE
81f2bcb7-b852-4f1b-ac3a-bfcfe69d5fbc,phoenix contact gmbh co phoenix contact gmbh co phoenix contact gmbh co,8 28 flachsmarktstr,blomberg,32825,,DE
21dd90c8-d37b-4a3f-ba91-5dcd55db7a53,gesa equipos y suministros indus,19 carrer de la industria,teia,8329,,ES
59de0cf8-cb34-4b30-a5cc-8ad39b44214b,compass group france,avenue de paris,chatillon,92320,,FR
b54f1933-d136-45b9-8bf9-da9d7f69c096,selex es spa,via piemonte,rome,187,,IT
31977c06-ae68-4fa8-a5ad-470ffafca635,siemens ag,16 hartmannstr,erlangen,91052,,DE
71d680b3-6244-4967-a313-1d2e15d99801,industrie und handelskammer,fasanenstr,berlin,10623,,DE
43c007d9-4e4a-4e36-9714-2e06374da2e2,ceg alain vendrell ek,max eyth str,illerkirchberg,89171,342171451.0,DE
dd1314c3-e23a-4908-a75c-8910d99bb7c9,kuhn albert,9 wilhelmstr,stuttgart,70182,,DE
39ec323f-4efa-4215-b0fa-128f20c83e4b,stadler,7 tulpenweg,petershausen,85238,326026627.0,DE
3b7341ce-0a70-45fd-bb74-c09dcbdd076b,marconi selenia communications spa,1a via ambrogio negrone,genoa,16153,,IT
8de39d71-cc43-4b5d-8b4f-14f2b9059671,isr stephan walter,56 nahestr,rodgau,63110,,DE
0b9845b5-8b00-4666-9263-22a042db7971,dymacon gmbh,96 rheinstrae,darmstadt,64295,388046799.0,DE
42a5e929-3270-4700-b3c1-08ea755cb894,ge aviation,cheltenham,cheltenham,gl52 7,,GB
cce26ebb-988f-4b00-9ef5-c3dc46eb34de,ge aviation,evesham road,cheltenham,gl52 8sf,288525181.0,GB
d8021c22-9040-4710-a930-ffb0dc3f6add,federal express corporation,lg,madrid,28042,,ES
46bed352-d9d4-4aef-bd97-83309fcc4c54,blumenhof frey,17a wa12rmbachstraayerasse,unterschleissheim,85716,,DE
d8b76b14-40e6-4819-932e-770a0fcd2059,sogeti france,avenue ziegler,blagnac,31700,,FR
7091755c-95f2-43a7-9330-f5fd3a0d0587,cualicontrol aci sa,67 calle de caleruega,madrid,28033,462080649.0,ES
76a8f47c-acfa-41e5-85be-23aca5d1c0d4,kd optics,new forest farm walshford,wetherby,ls22,236859195.0,GB
e5fd5687-2a53-4d77-a9fb-f9529fd5e1ce,sixt gmbhcokg co,trelleborger str,rostock,18107,,DE
92daa6b5-06c3-451e-96fc-0dd217e73427,ge aviation systems ltd,cheltenham road east,gloucester,gl2 9qn,,GB
2918dcb8-e0ff-4108-b5f9-9c867268d20f,schuetz messtechnik gmbh,7a rheinstr,teltow,14513,324213826.0,DE
484866fb-d9ef-4c51-b6b6-e5b4c5586f17,ea elektro automatik,31 37 helmholtzstr,viersen,41747,330862074.0,DE
