ix_left,ix_right,name_left,name_right,street_left,street_right,city_left,city_right,postalcode_left,postalcode_right,duns_left,duns_right,countrycode_left,countrycode_right,y_true
1a6ccbe5,6ce89b84,vri gmbh,stahl gmbh,wilhelm maybach str,3 w maybach strae,ellwangen,crailsheim,73479,74564,,312901044,DE,DE,0
b3d57f9d,1bf66a20,aeroflex ltd,aeroflex ltd,monks brook industrial park,monks brook industrial park,chandler s ford,chandler s ford,so534ra,so534ra,,,GB,GB,1
f2e19b58,d56af94b,altron gmbh co kg,altran gmbh co kg,10 gaustr,3 veritaskai,lehrte,hamburg,31275,21079,315672964,,DE,DE,0
fe5db42f,666666f3,le joint francais,le joint francais,centre administratif,centre services partages,thure,thure,86540,86540,,766251516,FR,FR,1
1b69ccb6,f6b69da9,nespresso deutschland gmbh,kienbaum management,speditionsstrae,speditionsstrasse 21,dusseldorf,dusseldorf,40221,40221,,332631456,DE,DE,0
303a4b5d,69e3533d,muehlinghaus hildesheim,muehlinghaus hildesheim,klingelholl,klingelholl,wuppertal,wuppertal,42281,42281,319390084,,DE,DE,1
78b4a267,42778260,buerklin ohg,buerklin ohg,80 am wehrhahn,grnwalder weg,dusseldorf,oberhaching,40211,82041,316757657,,DE,DE,0
7a037111,69ef33b5,dr ursula matschke,dr ursula matschke,33 emilienstr,33 emilienstr,stuttgart,stuttgart,70563,70563,,,DE,DE,1
9acc114b,e1cd2dc2,ats gmbh,rts rieger team werbeagentur gmbh,14 schanzenstr,schanzenstrae,waldbrol,dusseldorf,51545,40549,323710764,,DE,DE,0
5e02efdb,251a3154,bozic tours,aalco metall,32 zinglerstr,12 aindlinger str,ulm,augsburg,89077,86167,,333354707,DE,DE,0
8b5d81b9,591099fe,nespresso deutschland gmbh,nespresso deutschland gmbh,23 speditionstr,speditionsstrae,dusseldorf,dusseldorf,40221,40221,333868649,,DE,DE,1
39e80128,11b433a8,alexander speith gmbh co kg,bro zimmermann,14 bahnhofstr,bahnhofstr,varel,dippoldiswalde,26316,01744,319220083,,DE,DE,0
b5729da0,fd3bac22,brklin ohg,buerklin ohg,41 schillerstr,grnwalder weg,munich,oberhaching,80336,82041,316757657,316757657,DE,DE,0
6c39db4f,741c6dc2,natixis factor,natixis factor,1012 avenue winston churchill,avenue winston churchill,charenton le pont,charenton le pont,94220,94220,,,FR,FR,1
0259216a,a2924139,hotel villa hentzel,villa hentzel,bauhausstr,bauhausstr,weimar,weimar,99423,99423,,,DE,DE,1
4c115719,d9c1213d,hamilton sundstrand aerospace,hamilton sundstrand ca,4747 harrison ave,po box 85757,rockford,san diego,61108-7929,92186-5757,,144357381,US,US,0
dcc308de,4423d322,drei bond gmbh,dixi polytool gmbh,17 carl zeiss ring,11 carl benz str,ismaning,birkenfeld,85737,55765,319143681,320051725,DE,DE,0
d6557d2d,3cbe1b93,maximilian wigger suttner,maximilian wigger suttner,jahnstr,jahnstr,ulm,ulm,89073,89073,,,DE,DE,1
a029fb9a,2528a57c,delta computer products gmbh,planilux gmbh,4 rntgenstr,48 rangestr,reinbek,warstein,21465,59581,031634716,313536424,DE,DE,0
680f5a62,cbb76bc4,genkinger hubtex gmbh,engelking elektronik gmbh,albstrae,16 albstr,munsingen,tuningen,72525,78609,332679625,,DE,DE,0
6537b899,dadb7842,utc aerospace systems,utc aerospace systems attn char mcgoldrick,250 knotter dr,1007 e university dr,kansas city,phoenix,64101,21131,041668195,,US,US,0
e1a325bd,8bd50f9c,klever gmbh und co kg,kemper gmbh,20 hauptstr,20 von siemens str,aham,vreden,84168,48691,,317319242,DE,DE,0
be102af6,75b2984e,aspen electronics limited,aspen electonics limited,1 kildare close,re aspen electronics,ruislip,feltham,ha4 9lg,tw137qd,217199405,,GB,GB,0
3c4377c9,4904c310,ergonomia verlag ohg,ergonomia verlag ohg,29a julius halder s trasse,29a julius halder s trasse,stuttgart,stuttgart,70597,70597,,,DE,DE,1
a9b7c40b,f02cb731,selex sensors and airborne systems,selex sensos and airborne systems,2 crewe road north,lg,edinburgh,edinburgh,eh5 2xs,28000,023226769,023226769,GB,ES,0
