ix_left,ix_right,y_true
00076444,3822d0da,0
00076444,3c32aaff,0
00076444,3e89bd42,0
00076444,572f3036,0
00076444,5b514254,0
00076444,5ca562bd,0
00076444,6ea6b301,0
00076444,76b25c3c,0
00076444,8b97a32c,0
00076444,99eda7d1,0
00076444,a051b685,0
00076444,a481e07e,0
00076444,ab3d3ca8,0
00076444,af93918e,0
00076444,b13e5b89,0
00076444,b44cbd74,0
00076444,b8494c22,0
00076444,d04dfca8,0
00076444,e5409203,0
00076444,ecf7dd00,0
00076444,ed3b6637,0
00076444,f3e4037e,0
00076444,f6c4b931,0
00076444,f959284b,0
00076444,fd0c4161,0
0025e9ae,c81cca30,0
0025e9ae,cf496645,1
0025e9ae,d4e8d811,0
002c559b,002c559b,1
002c559b,036c39fe,0
002c559b,05f23948,0
002c559b,0633cc75,0
002c559b,0c07244b,0
002c559b,150322b3,0
002c559b,1672ea75,0
002c559b,1d71df87,0
002c559b,22be1313,0
002c559b,24533b5d,0
002c559b,280904d3,0
002c559b,2a6a15cd,0
002c559b,2bde6f9b,0
002c559b,2d1296c3,0
002c559b,317b67a4,0
002c559b,322ea1e1,0
002c559b,3569f77a,0
002c559b,416bc525,0
002c559b,438f55f2,0
002c559b,463f5bf5,0
002c559b,48e97d3a,0
002c559b,4a9b4039,0
002c559b,4d1e81a5,0
002c559b,543cc599,0
002c559b,59b6e0d9,0
002c559b,5b7d08f9,0
002c559b,5be73b82,0
002c559b,5c033a4e,0
002c559b,6097f4c6,0
002c559b,62da40fe,0
002c559b,67b16b4b,0
002c559b,67fc19a2,0
002c559b,6b425170,0
002c559b,7501cdc9,0
002c559b,782ac561,0
002c559b,79a01cd7,0
002c559b,7e571f61,0
002c559b,87224afc,0
002c559b,8996cd9b,0
002c559b,8e0b3f0a,0
002c559b,96502f86,0
002c559b,97821d9a,0
002c559b,99d4e66e,0
002c559b,99ec7fe5,0
002c559b,abdce427,0
002c559b,b2dbd7a7,0
002c559b,b327fab0,0
002c559b,b55bfc9f,0
002c559b,b6a62cce,0
002c559b,b7181f13,0
002c559b,c0274a8f,0
002c559b,c4f5a3e9,0
002c559b,c5221387,0
002c559b,c6f46650,0
002c559b,c77b780e,0
002c559b,c8c3dc96,0
002c559b,cd7f0ea5,0
002c559b,ce81ffba,0
002c559b,d22baced,0
002c559b,d307aff1,0
002c559b,d53672e4,0
002c559b,d56af94b,0
002c559b,d7012694,0
002c559b,d7302eb5,0
002c559b,d8fa1b69,0
002c559b,f4f35c3f,0
002c559b,f5a796d3,0
002c559b,feaba798,0
009a86ad,009a86ad,1
009a86ad,0d248d0c,0
009a86ad,0ff7e72f,0
009a86ad,2a571313,0
009a86ad,32f433b3,0
009a86ad,3ac3d036,0
009a86ad,4d9fed60,0
009a86ad,50278134,0
009a86ad,56a3da87,0
009a86ad,572c004f,0
009a86ad,5bc679cc,0
009a86ad,625ca783,0
009a86ad,646c5c56,1
009a86ad,80f864f0,0
009a86ad,819eebf4,0
009a86ad,9672984d,0
009a86ad,9797cbd9,0
009a86ad,9bd20fdb,0
009a86ad,a25ba9bf,0
009a86ad,a74f8c2e,0
009a86ad,b02bd885,0
009a86ad,b1120134,0
009a86ad,c26dbee6,0
009a86ad,c87ec7a2,0
009a86ad,d0fec07a,0
009a86ad,d47278a7,0
009a86ad,dbef00b8,0
009a86ad,e0a1ea00,0
009a86ad,e8748ac9,1
009a86ad,e9a8e8f8,0
009a86ad,ea3544e6,0
009a86ad,f8da5ed3,0
009a86ad,fa4e296c,0
009a86ad,fb4b0855,0
009a86ad,fb90481b,0
00a0bae6,12245de1,1
00a0bae6,552b6ab5,0
00a0bae6,5e0c1f0f,0
00a0bae6,9daecd0e,0
00a0bae6,ac79d308,0
00a0bae6,d90bd6f1,0
00a0bae6,f31a5e28,0
00d11a3d,00d11a3d,1
00dd00ff,00dd00ff,1
00dd00ff,21a647ad,1
0129a092,0129a092,1
0129a092,37e911cf,0
0129a092,44cb6ef5,0
0129a092,4778fe92,0
0129a092,94d99394,0
0129a092,97d256b8,0
0129a092,d1b4aece,0
0167f9b6,0defc034,1
0167f9b6,a6361f15,1
01906e48,83a3c2c3,1
01c34b3a,19688610,0
01c34b3a,5ccd92f8,0
01c34b3a,5fb580f9,0
01c34b3a,6417c2a5,0
01c34b3a,8e5a3955,0
01c34b3a,960e78f7,0
01c34b3a,9bf85ddc,0
0259216a,01817689,1
0259216a,a2924139,1
0297485a,0297485a,1
0297485a,300287fa,0
0297485a,ba7ed2cc,0
02ca54ed,02ca54ed,1
02f8a26c,02f8a26c,1
02f8a26c,043c9126,0
02f8a26c,5f51f868,1
02f8a26c,8c47299c,0
02f8a26c,bf72a393,0
02fd0b2e,02fd0b2e,1
031704b5,031704b5,1
032a495d,032a495d,1
032a495d,4a8f68c6,1
032a495d,c1b026d0,0
032a495d,d46e85bc,0
032a495d,d5f42d64,1
032a495d,f6efced2,0
0358d8de,01097588,0
0358d8de,0358d8de,1
0358d8de,29dcbf38,0
0358d8de,2a19c3a0,0
0358d8de,3a310ba4,1
0358d8de,3c851f66,0
0358d8de,41f2040c,1
0358d8de,435913a2,0
0358d8de,61f33364,1
0358d8de,762901d0,1
0358d8de,7eb2ab2a,1
0358d8de,7f794d2b,0
0358d8de,a4d9ea5c,0
0358d8de,a6c201fb,0
0358d8de,c48d2aae,1
0358d8de,c5446e83,0
0358d8de,d69b4304,0
035d337d,30857054,1
035d337d,378f4784,1
035d337d,7ad9c282,1
035d337d,97d46a1f,1
035d337d,a8ec99a6,1
035d337d,b2b091c3,1
035d337d,ddd07b3e,1
036c39fe,002c559b,0
036c39fe,036c39fe,1
036c39fe,05f23948,0
036c39fe,0633cc75,0
036c39fe,0c07244b,0
036c39fe,150322b3,1
036c39fe,1672ea75,0
036c39fe,1d71df87,0
036c39fe,22be1313,0
036c39fe,24533b5d,0
036c39fe,280904d3,0
036c39fe,2a6a15cd,0
036c39fe,2bde6f9b,0
036c39fe,2d1296c3,0
036c39fe,317b67a4,0
036c39fe,322ea1e1,0
036c39fe,3569f77a,0
036c39fe,416bc525,0
036c39fe,438f55f2,0
036c39fe,463f5bf5,0
036c39fe,48e97d3a,0
036c39fe,4a9b4039,0
036c39fe,4d1e81a5,0
036c39fe,543cc599,0
036c39fe,59b6e0d9,0
036c39fe,5b7d08f9,0
036c39fe,5be73b82,0
036c39fe,5c033a4e,0
036c39fe,6097f4c6,0
036c39fe,62da40fe,0
036c39fe,67b16b4b,0
036c39fe,67fc19a2,0
036c39fe,6b425170,0
036c39fe,7501cdc9,0
036c39fe,782ac561,0
036c39fe,79a01cd7,0
036c39fe,7e571f61,0
036c39fe,87224afc,0
036c39fe,8996cd9b,0
036c39fe,8e0b3f0a,0
036c39fe,96502f86,0
036c39fe,97821d9a,0
036c39fe,99d4e66e,0
036c39fe,99ec7fe5,0
036c39fe,abdce427,0
036c39fe,b2dbd7a7,0
036c39fe,b327fab0,0
036c39fe,b55bfc9f,0
036c39fe,b6a62cce,0
036c39fe,b7181f13,0
036c39fe,c0274a8f,0
036c39fe,c4f5a3e9,0
036c39fe,c5221387,0
036c39fe,c6f46650,0
036c39fe,c77b780e,0
036c39fe,c8c3dc96,0
036c39fe,cd7f0ea5,0
036c39fe,ce81ffba,0
036c39fe,d22baced,0
036c39fe,d307aff1,0
036c39fe,d53672e4,0
036c39fe,d56af94b,0
036c39fe,d7012694,0
036c39fe,d7302eb5,0
036c39fe,d8fa1b69,1
036c39fe,f4f35c3f,0
036c39fe,f5a796d3,0
036c39fe,feaba798,0
0384d657,ab17a815,1
0384d657,daf1e6f8,0
041f9944,041f9944,1
041f9944,2ea0609a,0
041f9944,49fd4d55,0
04552123,3d65fac1,0
04552123,a887c5a3,0
04552123,af22c3e1,0
04552123,b12e9acf,0
04552123,b1bea013,0
04552123,d960dfd3,0
04552123,f9589692,0
045c4309,4b7cf7cd,0
045c4309,744b4470,0
045c4309,b817a7ab,0
045c4309,e2eeec7b,0
0472d735,0472d735,1
0472d735,06cbd331,0
0472d735,0ddea96b,0
0472d735,1a0060f0,0
0472d735,204e8e96,0
0472d735,26ff52a3,0
0472d735,589bcd4b,0
0472d735,65490a1f,0
0472d735,744b4470,0
0472d735,8613a6c7,0
0472d735,8638314d,0
0472d735,a283a3f9,0
0472d735,b6142e89,0
0472d735,b7dff1be,1
0472d735,c23d13e2,0
0472d735,d96f5c2b,0
0472d735,e89a398f,0
0472d735,f1d5897c,0
0472d735,f2f90760,0
0472d735,f4df34e9,0
0472d735,f8885e2b,0
0472d735,ffaaef1a,0
0483c61c,73596a84,1
0483c61c,8029acbb,1
0483c61c,ca3c221b,0
04c2bc34,793de89f,1
04c2bc34,e2dbddca,1
054aa318,054aa318,1
054aa318,33bedb46,0
054aa318,738643f2,0
054aa318,a1badd12,0
054aa318,babdfc02,0
05548a30,2b8677f3,0
05548a30,5a1a977f,0
05548a30,63e2186b,0
05548a30,a2f89d56,0
05730d16,7a23377f,0
05730d16,8d39070a,0
05730d16,f746d3a6,0
05ab6b6a,06af930e,0
05ab6b6a,216daa64,0
05ab6b6a,3115d8aa,1
05ab6b6a,3220761f,0
05ab6b6a,61aea67f,0
05ab6b6a,70d5d628,0
05ab6b6a,760be353,0
05ab6b6a,a19caf28,0
05ab6b6a,ab98728a,0
05ab6b6a,b433a2a2,0
05ab6b6a,d5c901bc,0
05ab6b6a,d6f84052,0
06045ef8,06045ef8,1
06045ef8,65ad2011,0
06045ef8,bb3e4157,1
06045ef8,e42f6b6c,1
06045ef8,e6950a84,1
0651a667,041b262f,0
0651a667,0d4ebdd1,0
0651a667,18874197,0
0651a667,1ed82996,0
0651a667,237dae40,0
0651a667,29d1f197,0
0651a667,2b6db9ee,0
0651a667,2c354a23,0
0651a667,3dadcdf6,0
0651a667,3fe8b6d1,0
0651a667,42c3820a,0
0651a667,462132d7,0
0651a667,4904c310,0
0651a667,52b5a1a0,0
0651a667,59424a4b,0
0651a667,65099899,0
0651a667,69ef33b5,0
0651a667,70ad92e4,0
0651a667,70e80252,0
0651a667,7432242a,0
0651a667,78976160,0
0651a667,7dcb00a9,0
0651a667,8af3a891,0
0651a667,93a77943,0
0651a667,986f3098,0
0651a667,9db2d101,0
0651a667,9f63e594,0
0651a667,9fd8a23e,0
0651a667,a770ece1,0
0651a667,aac0214f,0
0651a667,af637cef,0
0651a667,b13fb1d4,0
0651a667,bb7f746c,0
0651a667,bcc60d05,0
0651a667,bda94bc7,1
0651a667,be8ead18,0
0651a667,d373c382,0
