ix,name,street,city,postalcode,duns,countrycode
1a6ccbe5-5e23-4cd3-b567-8366ac84c500,vri gmbh,wilhelm maybach str,ellwangen,73479,,DE
b3d57f9d-db16-42b5-ac05-44a27f15fc97,aeroflex ltd,monks brook industrial park,chandler s ford,so534ra,,GB
f2e19b58-c741-48ad-bcc8-27ada952a5b7,altron gmbh co kg,10 gaustr,lehrte,31275,315672964.0,DE
fe5db42f-8b19-4295-968a-096fce0df486,le joint francais,centre administratif,thure,86540,,FR
1b69ccb6-5901-4746-b1f9-8eef0d9a9870,nespresso deutschland gmbh,speditionsstrae,dusseldorf,40221,,DE
303a4b5d-b64c-4ec3-8026-61ddc082efa0,muehlinghaus hildesheim,klingelholl,wuppertal,42281,319390084.0,DE
78b4a267-3adf-46a8-afc9-35d8f07e5b14,buerklin ohg,80 am wehrhahn,dusseldorf,40211,316757657.0,DE
7a037111-f074-4934-bec9-3042d2a26421,dr ursula matschke,33 emilienstr,stuttgart,70563,,DE
9acc114b-09a3-45ba-998e-2b09cfa3126a,ats gmbh,14 schanzenstr,waldbrol,51545,323710764.0,DE
5e02efdb-9f45-42f9-9324-0d5708c3fb21,bozic tours,32 zinglerstr,ulm,89077,,DE
8b5d81b9-44a9-44a4-a373-3ce3760a230b,nespresso deutschland gmbh,23 speditionstr,dusseldorf,40221,333868649.0,DE
39e80128-8b75-44b9-a197-f253b2bb9fec,alexander speith gmbh co kg,14 bahnhofstr,varel,26316,319220083.0,DE
b5729da0-1fd8-4c57-8ea5-efc234032ca0,brklin ohg,41 schillerstr,munich,80336,316757657.0,DE
6c39db4f-af5f-4073-a447-d42f79981ac1,natixis factor,1012 avenue winston churchill,charenton le pont,94220,,FR
0259216a-6687-4146-b0ed-9373702b7d9f,hotel villa hentzel,bauhausstr,weimar,99423,,DE
4c115719-4309-459e-8f48-8929761074f7,hamilton sundstrand aerospace,4747 harrison ave,rockford,61108-7929,,US
dcc308de-62f6-4c91-bd0e-b7ad77424c9c,drei bond gmbh,17 carl zeiss ring,ismaning,85737,319143681.0,DE
d6557d2d-69b5-4e0a-af78-8f2b72b33d06,maximilian wigger suttner,jahnstr,ulm,89073,,DE
a029fb9a-c6e0-4732-96dc-b384ef9f62f7,delta computer products gmbh,4 rntgenstr,reinbek,21465,31634716.0,DE
680f5a62-9a45-462e-a744-bd79d091d26f,genkinger hubtex gmbh,albstrae,munsingen,72525,332679625.0,DE
6537b899-866f-4456-a542-0c0eb4718a57,utc aerospace systems,250 knotter dr,kansas city,64101,41668195.0,US
e1a325bd-f709-4d29-9071-236e44030908,klever gmbh und co kg,20 hauptstr,aham,84168,,DE
be102af6-1552-480a-98fe-53eced051582,aspen electronics limited,1 kildare close,ruislip,ha4 9lg,217199405.0,GB
3c4377c9-7da5-45b2-b9ab-4181554594ee,ergonomia verlag ohg,29a julius halder s trasse,stuttgart,70597,,DE
a9b7c40b-6448-407b-89f9-a7d0b040a6ea,selex sensors and airborne systems,2 crewe road north,edinburgh,eh5 2xs,23226769.0,GB
19c06e93-9aaf-4165-80ef-50f4e63ae433,denzel kg,12 mhlwinkel,wertingen,86637,316456565.0,DE
4c1e2c61-3b2f-4257-bab8-067f5ea58f2d,swansea university,singleton park,swansea,sa2 8pp,232227629.0,GB
8ae6cdb0-5808-4cbb-bb1e-9a6980f8817b,ge sensing,fir tree lane,groby,le6 0fh,219144201.0,GB
4c772645-57f5-490a-a336-b2e4ce1f10d3,mewa textil mietservice,5 hermann gebauer str,meisenheim,77974,314496969.0,DE
39082433-598a-49f1-b84b-6c3400305119,sinus electronic gmbh,schleifweg,untereisesheim,74257,,DE
5c91b347-a801-4eb4-a917-6caced005db8,phoenix contact hmi ipc,29 kurze str,filderstadt,70794,,DE
