ix_left,ix_right,name_left,name_right,street_left,street_right,city_left,city_right,postalcode_left,postalcode_right,duns_left,duns_right,countrycode_left,countrycode_right,y_true
1a6ccbe5-5e23-4cd3-b567-8366ac84c500,6ce89b84-d60a-42c6-8612-18f43319737e,vri gmbh,stahl gmbh,wilhelm maybach str,3 w maybach strae,ellwangen,crailsheim,73479,74564,,312901044,DE,DE,0
b3d57f9d-db16-42b5-ac05-44a27f15fc97,1bf66a20-ba9c-4676-a565-b42301dd78d7,aeroflex ltd,aeroflex ltd,monks brook industrial park,monks brook industrial park,chandler s ford,chandler s ford,so534ra,so534ra,,,GB,GB,1
f2e19b58-c741-48ad-bcc8-27ada952a5b7,d56af94b-45d8-4752-ae7b-78d53f88f9c7,altron gmbh co kg,altran gmbh co kg,10 gaustr,3 veritaskai,lehrte,hamburg,31275,21079,315672964,,DE,DE,0
fe5db42f-8b19-4295-968a-096fce0df486,666666f3-ed63-41b3-977e-1aa5ca87f126,le joint francais,le joint francais,centre administratif,centre services partages,thure,thure,86540,86540,,766251516,FR,FR,1
1b69ccb6-5901-4746-b1f9-8eef0d9a9870,f6b69da9-cc70-4918-b8f3-f92bf4d1580a,nespresso deutschland gmbh,kienbaum management,speditionsstrae,speditionsstrasse 21,dusseldorf,dusseldorf,40221,40221,,332631456,DE,DE,0
303a4b5d-b64c-4ec3-8026-61ddc082efa0,69e3533d-b706-4b98-8979-bceef511318c,muehlinghaus hildesheim,muehlinghaus hildesheim,klingelholl,klingelholl,wuppertal,wuppertal,42281,42281,319390084,,DE,DE,1
78b4a267-3adf-46a8-afc9-35d8f07e5b14,42778260-6697-4209-8763-8ee736dac674,buerklin ohg,buerklin ohg,80 am wehrhahn,grnwalder weg,dusseldorf,oberhaching,40211,82041,316757657,,DE,DE,0
7a037111-f074-4934-bec9-3042d2a26421,69ef33b5-45ec-4ec1-86ff-2ec388e4abc3,dr ursula matschke,dr ursula matschke,33 emilienstr,33 emilienstr,stuttgart,stuttgart,70563,70563,,,DE,DE,1
9acc114b-09a3-45ba-998e-2b09cfa3126a,e1cd2dc2-7867-47f5-af69-197636bbfff8,ats gmbh,rts rieger team werbeagentur gmbh,14 schanzenstr,schanzenstrae,waldbrol,dusseldorf,51545,40549,323710764,,DE,DE,0
5e02efdb-9f45-42f9-9324-0d5708c3fb21,251a3154-3135-4795-9a1a-14bc31a1edc4,bozic tours,aalco metall,32 zinglerstr,12 aindlinger str,ulm,augsburg,89077,86167,,333354707,DE,DE,0
8b5d81b9-44a9-44a4-a373-3ce3760a230b,591099fe-6fcd-4a72-9e4b-9365594dbb41,nespresso deutschland gmbh,nespresso deutschland gmbh,23 speditionstr,speditionsstrae,dusseldorf,dusseldorf,40221,40221,333868649,,DE,DE,1
39e80128-8b75-44b9-a197-f253b2bb9fec,11b433a8-edb0-4dfb-aa4f-2580dfed40c3,alexander speith gmbh co kg,bro zimmermann,14 bahnhofstr,bahnhofstr,varel,dippoldiswalde,26316,01744,319220083,,DE,DE,0
